gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,fyr,datadate,sedol,conm,costat,fic
016179,FS,HIST_STD,C,I,ZAR,1993,9,19930930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1994,9,19940930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1995,9,19950930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1996,9,19960930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1997,9,19970930,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1998,12,19981231,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,1999,12,19991231,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2000,12,20001231,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2001,12,20011231,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2002,3,20030331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2003,3,20040331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2004,3,20050331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2005,3,20060331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2006,3,20070331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2007,3,20080331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2008,3,20090331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2009,3,20100331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2010,3,20110331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2011,3,20120331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2012,3,20130331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2013,3,20140331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2014,3,20150331,6869045,SYCOM PROPERTY FUND,I,ZAF
016179,FS,HIST_STD,C,I,ZAR,2015,6,20150630,6869045,SYCOM PROPERTY FUND,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1989,3,19900331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1990,3,19910331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1991,3,19920331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1992,3,19930331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1993,3,19940331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1994,3,19950331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1995,3,19960331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1996,3,19970331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1997,3,19980331,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016181,FS,HIST_STD,C,I,ZAR,1999,12,19991231,6033679,ANGLO AMERICAN PROP LTD,I,ZAF
016183,FS,HIST_STD,C,I,ZAR,1988,10,19881031,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1989,10,19891031,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1990,10,19901031,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1991,10,19911031,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1992,3,19930331,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1993,3,19940331,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1994,3,19950331,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1995,3,19960331,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
016183,FS,HIST_STD,C,I,ZAR,1996,3,19970331,BBGB5W0,GROWTHPOINT PROPERTIES LTD,A,ZAF
