Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
208127,Illovo Sugar Ltd,Consumer Staples,2015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
210060,Distell Group Ltd,Consumer Staples,2015,6,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,18,
210060,DISTELL GROUP LTD,Consumer Staples,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,24,
211061,Crookes Brothers Ltd,Consumer Staples,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,13,
211061,CROOKES BROTHERS LTD,Consumer Staples,2016,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,14,
211166,Shoprite Holdings Ltd (Shp),Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,18,
211166,SHOPRITE HLDGS LTD,Consumer Staples,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,1,0,1,0,18,
211613,Sovereign Food Investments Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,19,
211613,SOVEREIGN FOOD INV,Consumer Staples,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,19,
212636,Pick'N Pay Holdings Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,20,
212636,PICK 'N PAY HLDGS LTD,Consumer Staples,2016,2,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,0,0,0,1,,1,1,1,1,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,33,
213098,Clicks Group Ltd,Consumer Staples,2015,8,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,1,0,0,0,0,0,0,17,
213098,CLICKS GROUP LTD,Consumer Staples,2016,8,,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,,1,1,1,1,0,0,0,,1,1,1,1,0,0,0,,1,1,1,1,0,0,0,,1,1,1,1,0,0,0,26,
240209,AH-Vest Ltd,Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,16,
240209,AH-VEST LTD,Consumer Staples,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,16,
240319,Massmart Holdings Ltd,Consumer Staples,2015,12,,1,0,1,1,1,1,1,,1,1,0,1,1,1,1,,1,1,0,1,0,1,1,,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,,1,0,0,1,1,1,0,34,
240319,MASSMART HOLDINGS LTD,Consumer Staples,2016,12,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,36,
246277,Astral Foods Ltd,Consumer Staples,2015,9,,1,1,1,1,1,0,1,,1,0,0,1,1,0,0,,1,1,0,1,1,0,1,,1,1,0,1,1,0,1,,1,1,0,1,1,0,1,,1,0,0,1,0,0,0,26,
246277,ASTRAL FOODS LTD,Consumer Staples,2016,9,,1,1,1,1,1,1,1,,1,0,0,1,1,1,0,,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,,1,0,0,1,0,1,0,32,
251060,Beige Holdings Ltd,Consumer Staples,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,18,
271087,Spar Group Ltd,Consumer Staples,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
271087,SPAR GROUP LTD,Consumer Staples,2016,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
281796,Nutritional Holdings Ltd,Consumer Staples,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,12,
