globalcompanykey,industryformat,comparabilitystatus,isocurrencycode,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,assetstotal,capitalexpenditures,debtincurrentliabilitiestotal,longtermdebttotal,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,intangibleassetstotal,liabilitiestotal,operatingactivitiesnetcashflow,salesturnovernet,stockexchangecode,comsharesoutstandingissue,netincomelossconsolidated,companylegalname,gicsectors,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth,tobins_q,tobins_q1
102544,INDL,,ZAR,2016,2,5.3,1,9551,191,1268,1923,0,0,0,1029,7523,94,13892,177,102.423,395,Allied Electronics Corp Ltd,20,Industrials,.10773741,9.1644011,.041356925,.33410114,0,,542.84186,-.032388382,-.33889389,,
102572,INDL,,ZAR,2015,3,1.45,1,9036.8223,308.59601,386.14801,440.64401,0,0,0,6451.2378,1945.479,336.15201,2431.3149,177,381.927,81.223,E Media Holdings Ltd,25,Consumer Discretionary,.71388346,6.5684643,.0089880042,.091491453,0,.0078426488,553.79413,.014576093,-.00039838426,,
102572,INDL,,ZAR,2016,3,9.5,1,9205.9453,78.102997,344.34698,332.62701,0,0,0,6374.9648,2024.26,269.09601,2582.7329,177,,72.198997,E Media Holdings Ltd,25,Consumer Discretionary,.69248348,9.1276045,.0078426488,.073536612,0,,,.062278222,.018714881,,
103026,INDL,,ZAR,2015,6,17.25,1,19693.195,756.62,134.45,3511.271,301.77701,318.746,0,5675.8618,9579.6963,1563.891,23428.205,177,861.56598,880.026,RCL Foods Ltd,30,Consumer Staples,.28821436,7.3474298,.044686805,.18512593,620.52301,.010391347,14862.013,.18804497,-.010926979,1.2322004,
103026,INDL,,ZAR,2016,6,13.9,1,20290.824,1012.726,493.841,3598.8459,320.091,259.095,0,4942.4922,10200.614,928.96002,25025.158,177,863.651,210.849,RCL Foods Ltd,30,Consumer Staples,.24358262,9.9179239,.010391347,.20170137,579.18604,,12004.749,.0681637,.030346975,,
103087,INDL,,ZAR,2015,12,3,1,214.21899,20,0,0,122.914,0,0,0,87.037003,-2.1110001,15.211,177,49.166,-41.889999,Delta EMD Ltd,20,Industrials,0,2.8264,-.19554755,0,122.914,.10660461,147.498,-.94642544,-.48960236,,
103087,INDL,,ZAR,2016,12,1.15,1,130.84801,,0,0,49.162998,0,0,0,38.832001,-32.558998,0,177,49.166,13.949,Delta EMD Ltd,20,Industrials,0,4.8740363,.10660461,0,49.162998,,56.540901,-1,-.38918579,,
104935,INDL,,ZAR,2015,6,37.98,1,1915.4709,27.68,43.594002,19.016001,29.461,0,0,26.289,929.23199,1.832,2544.394,177,28.712,92.237,ELB Group Ltd,20,Industrials,.013724562,5.0171199,.048153691,.032686479,29.461,-.086846404,1090.4818,.083051786,-.043683708,,
104935,INDL,,ZAR,2016,6,17.8,1,1699.368,11.837,19.035,35.047001,27.804001,0,0,21.789,936.83197,-48.501999,1782.718,177,28.554001,-147.584,ELB Group Ltd,20,Industrials,.012821825,7.4380116,-.086846404,.031824771,27.804001,,508.26123,-.29935458,-.11281972,,
146202,INDL,,ZAR,2015,12,44.04,1,52626,2390,903,4185,984,536,0,56,18400,3995,18330,177,355.22501,296,Exxaro Resources Ltd,10,Energy,.0010641128,8.3303671,.005624596,.09668225,1520,.085781984,15644.109,.11761478,.10957431,.8860141,
