globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
287301,01W,2016,ZAR,18.829132420091327,0.0
287377,01W,2015,ZAR,5.985454545454545,6.0
287377,01W,2016,ZAR,5.404732824427478,5.5
287409,01W,2015,ZAR,1.2771428571428574,1.25
287409,01W,2016,ZAR,1.5713242009132442,0.0
287424,01W,2015,ZAR,31.630000000000006,32.7
287424,01W,2016,ZAR,29.362213740458,25.7
287447,01W,2015,ZAR,1.6000000000000005,1.6
287447,01W,2016,ZAR,1.6596347031963408,0.0
288519,01W,2015,ZAR,1.0647619047619048,1.1
288519,01W,2016,ZAR,1.1182191780821924,0.0
288695,01W,2015,ZAR,0.9571755725190833,0.56
288698,01W,2015,ZAR,195.50954545454545,195.76
288698,01W,2016,ZAR,163.89816793893127,173.87
288811,01W,2015,ZAR,3.313181818181818,2.65
288811,01W,2016,ZAR,2.317824427480915,2.6
288883,01W,2015,ZAR,16.875,16.25
288883,01W,2016,ZAR,16.108206106870238,15.0
288986,01W,2015,ZAR,5.953181818181819,5.85
288986,01W,2016,ZAR,4.500343511450381,3.5
289223,01W,2015,ZAR,2.163636363636364,2.19
289223,01W,2016,ZAR,1.8080152671755714,2.1
291962,01W,2015,ZAR,4.542857142857143,4.2
291962,01W,2016,ZAR,5.009198473282444,6.8
292072,01W,2015,ZAR,151.94695652173917,160.53
292072,01W,2016,ZAR,157.0358673469387,0.0
292639,01W,2015,ZAR,4.439565217391304,4.5
292639,01W,2016,ZAR,3.765051020408164,0.0
294998,01W,2015,ZAR,1.3430916030534354,1.53
294999,01W,2015,ZAR,2.4490476190476196,2.1
294999,01W,2016,ZAR,2.208949771689497,0.0
295796,01W,2015,ZAR,25.289565217391303,26.65
295796,01W,2016,ZAR,41.375287356321856,35.61
296273,01W,2015,ZAR,17.813636363636366,17.6
296273,01W,2016,ZAR,17.950458015267177,18.51
296962,01W,2015,ZAR,42.37318181818182,42.47
296962,01W,2016,ZAR,40.970725190839666,41.2
297991,01W,2015,ZAR,52.68304347826086,57.79
297991,01W,2016,ZAR,43.37199233716477,50.2
298289,01W,2015,ZAR,44.80913043478262,46.94
298289,01W,2016,ZAR,37.566168582375504,28.25
298363,01W,2015,ZAR,51.23904761904762,52.0
298363,01W,2016,ZAR,58.847899543379,0.0
310887,01W,2015,ZAR,9.544545454545453,9.6
310887,01W,2016,ZAR,8.547442748091603,8.65
311541,01W,2015,ZAR,11.302857142857144,11.2
311541,01W,2016,ZAR,10.464351145038167,10.76
312061,01W,2015,ZAR,9.964545454545457,9.8
312061,01W,2016,ZAR,9.255152671755738,8.0
312884,01W,2015,ZAR,9.594090909090909,10.0
312884,01W,2016,ZAR,11.19263358778625,12.75
313318,02W,2015,ZAR,11.118095238095242,11.14
313318,02W,2016,ZAR,9.331984732824427,9.0
313404,01W,2015,ZAR,9.465909090909092,9.5
313404,01W,2016,ZAR,9.317213740458023,8.98
313499,01W,2015,ZAR,0.5960919540229881,0.65
313603,01W,2015,ZAR,21.709565217391308,23.0
313603,01W,2016,ZAR,30.923826530612242,0.0
314534,01W,2015,USD,0.9147962621843478,0.9561184482
314534,01W,2016,ZAR,13.643486590038318,15.0
314654,01W,2015,ZAR,4.594090909090909,4.58
314654,01W,2016,ZAR,3.788053435114506,2.07
316279,01W,2015,ZAR,22.865454545454543,22.2
316279,01W,2016,ZAR,20.096908396946564,18.81
316676,01W,2015,ZAR,14.425454545454546,14.5
316676,01W,2016,ZAR,19.036374045801523,24.0
317423,01W,2015,ZAR,7.36608695652174,7.3
317423,01W,2016,ZAR,7.393571428571434,0.0
317512,01W,2015,ZAR,2.555454545454545,2.58
317512,01W,2016,ZAR,2.1256870229007636,1.7
317814,01W,2015,ZAR,6.774761904761904,6.88
317814,01W,2016,ZAR,7.035981735159808,0.0
318215,01W,2015,ZAR,6.684347826086956,6.7
318215,01W,2016,ZAR,6.693724489795916,0.0
318385,01W,2015,ZAR,17.366521739130434,17.4
318385,01W,2016,ZAR,12.864099616858235,9.99
318391,01W,2015,ZAR,3.2240909090909087,3.6
318391,01W,2016,ZAR,2.806450381679386,2.61
318455,01W,2015,ZAR,20.920909090909092,22.48
318455,01W,2016,ZAR,22.80473282442749,27.6
318727,01W,2015,USD,0.8650669347195651,0.9989297220000001
318727,01W,2016,ZAR,16.925612244897962,0.0
318745,01W,2015,ZAR,27.646015325670565,18.0
318799,01W,2015,ZAR,19.77961685823756,14.99
318800,01W,2015,ZAR,9.068571428571428,9.5
318800,01W,2016,ZAR,8.51922374429224,0.0
318806,01W,2015,ZAR,9.70238095238095,9.75
318806,01W,2016,ZAR,9.881598173515993,0.0
319477,01W,2015,ZAR,10.921739130434782,11.5
319477,01W,2016,ZAR,10.978418367346935,0.0
319788,01W,2015,ZAR,3.2776190476190474,3.58
319788,01W,2016,ZAR,3.051552511415528,0.0
320485,01W,2016,ZAR,16.518537549407114,14.7
320620,01W,2016,ZAR,4.8644632768361635,4.89
320733,01W,2015,ZAR,9.163478260869564,9.35
320733,01W,2016,ZAR,9.986122448979591,0.0
321729,01W,2015,ZAR,1.8999999999999992,1.9
321729,01W,2016,ZAR,1.9664122137404538,2.1
321734,01W,2016,ZAR,39.26980392156864,39.7
322838,01W,2016,ZAR,21.73677419354839,0.0
